panelist,count,average
Faith Salie,4,6.250000
Peter Grosz,5,6.000000
Luke Burbank,2,6.000000
Roxanne Roberts,3,6.000000
Maz Jobrani,4,5.750000
Shantira Jackson,4,5.500000
Dulcé Sloan,4,5.500000
Adam Burke,8,5.375000
Josh Gondelman,6,5.333333
Alzo Slade,3,5.333333
Alonzo Bodden,4,5.250000
Tom Papa,5,5.200000
Tom Bodett,2,5.000000
Mo Rocca,4,5.000000
Karen Chee,3,5.000000
Helen Hong,5,4.800000
Paula Poundstone,5,4.800000
Emmy Blotnick,3,4.666667
Brian Babylon,3,4.666667
Adam Felber,4,4.500000
Hari Kondabolu,5,4.400000
Negin Farsad,9,4.000000
"Roy Blount, Jr.",2,4.000000
Shane O'Neill,3,4.000000
Meredith Scardino,2,4.000000
Joyelle Nicole Johnson,8,4.000000
Maeve Higgins,3,0.666667
